seq,name_zh,name_en,name_alt,country,day_no,date,modern_location,ancient_toponym,gps,opening_hours,admission,duration,scripture_refs,bible_books,story_summary,key_figures,historical_era,theological_significance,life_application,discussion_questions,archaeological_findings,historical_strata,accuracy_rating,key_artifacts,tour_route_position,best_time,dress_code,photo_restrictions,crowd_levels,safety_notes,accessibility,nearby_dining,accommodation,nearby_biblical_sites,local_products,recommendation_score,physical_comment
1,伊斯坦堡,Istanbul,君士坦丁堡 Constantinople / 庇推尼 Bithynia,土耳其,2,3/14,土耳其西北端，橫跨博斯普魯斯海峽，歐亞兩洲交會處,拜占庭（Byzantium）→ 君士坦丁堡（Constantinople）→ 伊斯坦堡,"41.0082°N, 28.9784°E",城市全天可遊覽；各景點開放時間不同,,本日為接機與自由活動，建議利用半天熟悉舊城區,彼前 1:1　／　徒 16:7,使徒行傳、彼得前書,伊斯坦堡所在的小亞細亞西北角，羅馬時代屬「庇推尼」省。北臨黑海，南接亞細亞省，東鄰加拉太和本都。這裡是早期基督教中心之一。保羅第二次宣教旅程中曾想前往庇推尼傳道，卻被聖靈阻止（徒 16:7）。使徒彼得則寫信給散居在本都、加拉太、加帕多家、亞細亞、庇推尼的信徒，勉勵他們在患難中持守信仰（彼前 1:1）。,使徒保羅、使徒彼得,初代教會（主後 1 世紀）；後成為拜占庭帝國首都（主後 330–1453 年）,聖靈的引導有時是「關門」而非「開門」。保羅被阻止前往庇推尼，卻因此領受馬其頓異象，將福音帶進歐洲。伊斯坦堡見證了基督教從一個被逼迫的信仰，成為羅馬帝國國教的歷史轉折。,當我們的計畫被打亂時，背後可能有上帝更大的帶領。學習在「此路不通」的時刻，安靜等候新的方向。,你生命中是否有過「被聖靈阻止」的經驗？那次轉向帶來了什麼意想不到的結果？ ｜ 在一座歐亞交會的城市中，你如何看待不同文化與信仰的共存？,伊斯坦堡歷史城區 1985 年列入世界文化遺產，地下蓄水池、城牆遺跡與拜占庭時期教堂基礎不斷出土。,希臘殖民城邦（前 7 世紀）→ 羅馬帝國 → 拜占庭帝國首都 → 鄂圖曼帝國首都 → 現代土耳其,,,行程第 2 天，抵達土耳其的第一站,春季（3–5 月）與秋季（9–11 月），氣溫宜人；三月均溫約 5–12°C,進入清真寺需脫鞋，女性需戴頭巾、長袖長裙；建議隨身攜帶圍巾,,全年遊客眾多，舊城區景點排隊時間長，建議早起出發,注意隨身財物，大巴札與觀光區扒手較多；搭計程車請用跳錶或叫車 App,,,Hilton Istanbul Bomonti（5 星）,,,★★★★★（世界級歷史名城，不可錯過）,第一天以調整時差為主，建議漫步舊城區感受千年古都氛圍。
2,聖索菲亞大教堂,Hagia Sophia,Ayasofya,土耳其,3,3/15,伊斯坦堡舊城區蘇丹艾哈邁德廣場旁,聖索菲亞（Sancta Sophia，意為「神聖智慧」）,"41.0086°N, 28.9802°E",每日開放（禮拜時間除外），約 09:00–19:00（季節調整）,目前作為清真寺免費入場，非禮拜時段可參觀,1–1.5 小時,林前 1:24（「基督總為神的能力，神的智慧」——「索菲亞」之名的靈感來源）,哥林多前書,「索菲亞」在希臘語中意為「神聖智慧」，典出保羅書信：「基督總為神的能力，神的智慧」（林前 1:24）。這座拜占庭建築瑰寶於 537 年由查士丁尼大帝建成，近千年間是世界上最大的教堂。它見證了基督教歷史的興衰——從東正教主教座堂，到鄂圖曼清真寺，到博物館，再到 2020 年重新改為清真寺。基督教馬賽克鑲嵌畫與伊斯蘭書法在同一空間並存，令人深思。,查士丁尼大帝（建造者）,拜占庭帝國（主後 537 年落成）,聖索菲亞的命名來自「神的智慧」（Sophia），提醒信徒真正的智慧不在人的哲學，而在認識基督。這座建築在基督教與伊斯蘭文化之間的轉變，也呈現了信仰在歷史洪流中的堅韌與張力。,在多元文化的碰撞中，如何在尊重他者的同時持守自己的信仰根基？,看到基督教與伊斯蘭藝術在同一空間並存，你有什麼感受？ ｜ 「神的智慧」對你個人的信仰生活有什麼意義？,內部保存多幅拜占庭馬賽克鑲嵌畫，包括「三聖像」（Deësis）——被認為是拜占庭藝術最高傑作之一。2009 年修復工程中發現更多隱藏在灰泥下的基督教壁畫。,第一座教堂（360 年）→ 第二座（415 年）→ 現存建築（537 年）→ 鄂圖曼清真寺（1453 年）→ 博物館（1934 年）→ 清真寺（2020 年）,高（建築本身即為歷史實物）,拜占庭馬賽克鑲嵌畫、大理石柱、淚柱（許願柱）、蘇丹御座,行程第 3 天第一站，伊斯坦堡歷史城區巡禮,建議上午早到避開人潮；週五禮拜時段暫停參觀,作為清真寺運作：需脫鞋，女性需戴頭巾、遮蓋肩膀和膝蓋；入口處提供免費頭巾與長裙,一般可拍照，禮拜時段禁止,全年擁擠，建議開門時段即到場,,主層無障礙，上層迴廊需走斜坡道,,,聖伊蓮娜教堂（步行 3 分鐘）、藍色清真寺（對面）,,★★★★★（世界建築史上的奇蹟，必訪）,建議攜帶望遠鏡觀賞穹頂馬賽克畫。光線隨時間變化，上午光線最佳。
3,跑馬場,Hippodrome,蘇丹艾哈邁德廣場 Sultanahmet Meydanı,土耳其,3,3/15,伊斯坦堡舊城區，聖索菲亞與藍色清真寺之間,君士坦丁堡競技場（Hippodrome of Constantinople）,"41.0063°N, 28.9757°E",,戶外開放空間，免費,20–30 分鐘,,,,,,,,,拜占庭時代的跑馬場原可容納十萬觀眾，現已不復存在。廣場上矗立三座歷史紀念碑：來自埃及的狄奧多西方尖碑（Obelisk of Theodosius，前 15 世紀）、青銅蛇柱（Serpent Column，前 478 年，來自德爾菲）、以及君士坦丁石柱。,羅馬競技場（203 年始建）→ 拜占庭帝國政治中心 → 鄂圖曼時期廣場 → 現代公園,,狄奧多西方尖碑（3500 年歷史）、德爾菲青銅蛇柱、君士坦丁石柱,行程第 3 天，聖索菲亞之後步行前往,任何時段皆可，傍晚光線適合拍照,,,戶外空間寬敞，人潮不擁擠,,,,,聖索菲亞（步行 3 分鐘）、藍色清真寺（步行 2 分鐘）,,★★★☆☆（歷史地標，路過順遊即可）,廣場上的三座紀念碑各有千年以上歷史，值得細看碑文浮雕。
4,托普卡匹皇宮,Topkapı Palace,Topkapı Sarayı,土耳其,3,3/15,伊斯坦堡舊城區，聖索菲亞東北側的海角上,,"41.0115°N, 28.9833°E",09:00–18:00（冬季至 16:45）；週二休館,成人約 750 TL，後宮另計約 350 TL（2025 年參考價）,2–3 小時（含後宮）,,,,,,,,,皇宮由四個庭院和後宮組成，有「土耳其紫禁城」之稱。世界上最大的宮殿式博物館之一。收藏包括先知遺物、鄂圖曼珠寶（含 86 克拉「製匙者之鑽」）、中國瓷器等。,鄂圖曼帝國蘇丹皇宮（1465–1856 年）→ 博物館（1924 年起）,,製匙者之鑽（Spoonmaker's Diamond）、托普卡匹匕首、先知穆罕默德遺物室,行程第 3 天，跑馬場之後前往,建議上午前往，下午人潮較多,無特殊要求，但走路較多建議穿舒適鞋,珠寶室與先知遺物室內禁止拍照,旺季排隊可達 1 小時，建議購買博物館通票或線上預約,宮殿區域大、地面有石板路，注意腳步,,,,聖索菲亞（步行 5 分鐘）、聖伊蓮娜教堂（位於皇宮第一庭院內）,,★★★★★（鄂圖曼帝國的權力核心，博物館級體驗）,後宮內部精美的伊茲尼克瓷磚不可錯過。建議先參觀後宮再逛四個庭院。
5,聖伊蓮娜教堂,Hagia Eirene,Hagia Irene / 神聖和平教堂,土耳其,3,3/15,伊斯坦堡，托普卡匹皇宮第一庭院內,,"41.0108°N, 28.9815°E",09:00–17:00（特展或音樂會期間可能調整）,約 300 TL（可能包含在皇宮通票內）,30–45 分鐘,,,聖伊蓮娜教堂是君士坦丁堡最早興建的教堂之一，「Eirene」在希臘語中意為「和平」。主後 381 年，第二次大公會議（君士坦丁堡大公會議）即在此召開，確立了尼西亞信經的最終版本。教堂從未被改建為清真寺，是伊斯坦堡唯一持續保持教堂原貌的拜占庭建築。,,拜占庭帝國（約主後 4 世紀始建）,作為第二次大公會議的舉辦地，聖伊蓮娜教堂見證了基督教教義的確立。其內部極簡的十字架馬賽克（而非人像），反映了早期教會對偶像崇拜的警覺。,,,內部保存一面巨大的黑色十字架馬賽克鑲嵌畫，可追溯至破壞聖像運動時期（主後 8 世紀）。這是伊斯坦堡極少數未經鄂圖曼改建的拜占庭教堂。,君士坦丁大帝時期始建（4 世紀）→ 查士丁尼重建（6 世紀）→ 鄂圖曼時期作為軍械庫 → 現為博物館及音樂廳,,半圓頂的黑色十字架馬賽克（破壞聖像運動時期遺存）,行程第 3 天，托普卡匹皇宮園區內參觀,,無特殊要求,一般可拍照,遊客不多，相對清靜,,,,,聖索菲亞（步行 5 分鐘）,,★★★★☆（極簡之美，早期教會歷史的活見證）,內部極簡的空間與巨大十字架形成強烈視覺震撼。因位於皇宮庭院內，常被遊客忽略，值得專程進入。
6,藍色清真寺,Blue Mosque,Sultan Ahmed Mosque / 蘇丹艾哈邁德清真寺,土耳其,3,3/15,伊斯坦堡舊城區，聖索菲亞正對面,,"41.0054°N, 28.9768°E",每日開放（五次禮拜時段除外），約 08:30–11:30、13:00–14:30、15:30–16:45,免費（接受捐獻）,30–45 分鐘,,,,,,,,,"蘇丹艾哈邁德一世為使其成為帝國代表建築，內部裝飾使用超過 20,000 片伊茲尼克（İznik）手工瓷磚。這些瓷磚以藍色花紋為主調，因此得名「藍色清真寺」。它是世界上唯一擁有六座宣禮塔的清真寺（建造時引發爭議，因當時只有麥加的清真寺有六座）。",1609–1616 年建造 → 歷經多次修繕 → 至今仍為活躍的清真寺,,"超過 20,000 片伊茲尼克藍色花紋瓷磚、260 扇彩色玻璃窗",行程第 3 天，伊斯坦堡歷史城區巡禮的最後一站,建議避開禮拜時間；上午光線透過 260 扇彩色玻璃窗最為壯觀,需脫鞋；女性需戴頭巾、遮蓋肩膀與膝蓋（入口免費提供）,可拍照，禮拜時段禁止,非常擁擠，建議開門即到或中午短暫較少人時段,,入口有無障礙通道,,,聖索菲亞（對面步行 3 分鐘）,,★★★★★（伊斯坦堡天際線的代表，內部瓷磚美不勝收）,站在中庭抬頭看穹頂，藍色瓷磚在自然光中流轉，令人屏息。
7,達達尼爾海峽,Dardanelles Strait,韃靼海峽 / 恰納卡萊海峽,土耳其,4,3/16,土耳其西北部，小亞細亞半島與巴爾幹半島之間,,"40.2°N, 26.4°E",,,渡輪約 25–30 分鐘,,,,,,,,,一戰時期的加里波利戰役（Gallipoli Campaign）使此地成為重要的戰爭紀念地。恰納卡萊（Çanakkale）海岸至今保留大量砲台與紀念碑。,古代通商航道 → 波斯帝國薛西斯渡海遠征（前 480 年）→ 加里波利戰役（1915 年）→ 現代國際航道,,,行程第 4 天，從伊斯坦堡前往恰納卡萊途中,任何季節皆可，春季海面平靜,,,,渡輪上風大，注意保暖與隨身物品,,,Kolin Hotel 或同級（5 星，恰納卡萊）,,,★★★★☆（橫跨歐亞的獨特體驗）,站在渡輪甲板上看兩岸風景，感受歐亞交界的壯闊。建議帶件外套，海風很大。
8,特洛伊遺址,Troy,Truva / 特洛伊古城,土耳其,4,3/16,土耳其恰納卡萊省，希沙利克（Hisarlık）,,"39.9574°N, 26.2389°E",每日 08:30–19:00（冬季至 17:00）,成人約 200 TL,1.5–2 小時,,,,,,,,,1870 年代德國考古學家海因里希·施里曼（Heinrich Schliemann）在此發掘，發現了疊壓的九層城市遺跡，跨越約 3000 年歷史。入口處有一座木馬屠城記的大型木馬複製品。1998 年列入世界文化遺產。,特洛伊 I–IX 層（約前 3000 年–主後 500 年）：特洛伊 VI–VIIa 被認為是荷馬史詩中木馬屠城的時代,,施里曼發現的「普里阿摩斯寶藏」（原件現存俄羅斯）、城牆遺跡、木馬複製品,行程第 4 天，渡過海峽後前往,上午光線最佳且人少,戶外遺址，穿舒適步行鞋,,旺季中等人潮,遺址地面不平，注意腳步,部分步道為泥土路，輪椅通行有限,,,,,★★★★☆（荷馬史詩的真實場景，考古學里程碑）,入口的大型木馬可以攀爬拍照。遺址本身需要一些想像力還原古城面貌，建議聽導覽解說。
9,特羅亞,Troas,Alexandria Troas,土耳其,5,3/17,土耳其恰納卡萊省達利安（Dalyan）村附近,亞歷山大特羅亞（Alexandria Troas）,"39.7530°N, 26.1603°E",日出至日落，無正式管理,免費,45–60 分鐘,徒 16:6–12　／　徒 20:1–14　／　林後 2:12　／　提後 4:13,使徒行傳、哥林多後書、提摩太後書,特羅亞是保羅宣教旅程中至關重要的轉折點。第二次宣教旅程中，保羅在此夜間看見異象——一位馬其頓人站著求他說：「請你過到馬其頓來幫助我們！」（徒 16:9）。這個「馬其頓呼聲」促使福音從亞洲跨入歐洲。第三次旅程中，保羅又在此講道直到半夜，少年猶推古因打瞌睡從三樓摔下去死了，保羅使他復活（徒 20:7–12）。保羅也曾在此留下外衣和書卷（提後 4:13）。,保羅、路加、西拉、提摩太、猶推古,初代教會（主後 50 年代）,特羅亞是福音從亞洲傳到歐洲的起航點，具有極其重大的宣教史意義。聖靈先「關門」（禁止保羅在亞細亞講道、不許往庇推尼去），再在特羅亞「開門」——以馬其頓異象指明方向。這提醒我們：上帝的引導有時透過阻攔來預備更大的使命。,你生命中有沒有一個「特羅亞時刻」——意外的轉向，卻帶來更大的使命？,保羅在特羅亞的經歷如何改變了整個世界歷史的走向？ ｜ 面對不確定的方向，你如何分辨聖靈的帶領？,遺址面積廣大但尚在發掘中，可見羅馬時期的城牆、浴場和港口遺跡。古代港口已淤塞退縮。,希臘化時期城市 → 羅馬殖民地 → 拜占庭 → 荒廢,高（使徒行傳記載與考古證據吻合）,,行程第 5 天第一站,上午，遺址無遮蔽,戶外遺址，帽子與防曬不可少,,遊客稀少，非常清靜,遺址粗獷原始，注意石塊與凹凸地面,,,,古城亞朔（Assos，約 30 分鐘車程）,,★★★★★（福音進入歐洲的起點，宣教史聖地）,遺址雖不如以弗所壯觀，但正因遊客稀少，更能靜靜感受保羅當年領受異象的震撼。
10,古城亞朔,Assos,,土耳其,5,3/17,土耳其恰納卡萊省貝赫拉姆（Behramkale）村,亞朔（Assos）,"39.4908°N, 26.3385°E",日出至日落,約 100 TL,1–1.5 小時,徒 20:13–14,使徒行傳,保羅第三次宣教旅程回程時，從特羅亞步行到亞朔（約 30 公里的古道），與同工在此會合後，一同乘船前往米利都，最終返回耶路撒冷（徒 20:13–14）。保羅選擇獨自步行而非搭船，可能是為了安靜禱告與思考。這段路被稱為「保羅古道」。,保羅,初代教會（主後 57 年左右）,保羅選擇獨自步行古道，顯示即使在忙碌的事奉中，他仍渴望安靜獨處的時光。這提醒服事者也需要退到曠野的時刻。,在忙碌的生活節奏中，你有為自己保留「獨自步行」的安靜時光嗎？,保羅為什麼選擇步行而非搭船？這對你有什麼啟發？,亞朔位於海拔 238 公尺的火山岩上，保存有古希臘雅典娜神殿（前 6 世紀）遺跡。亞里士多德曾在此建立學院並居住三年。,前 7 世紀希臘殖民城邦 → 亞里士多德學院（前 347 年）→ 羅馬時期 → 拜占庭 → 鄂圖曼,,雅典娜神殿的多利亞式柱廊（部分仍矗立）,行程第 5 天第二站，特羅亞之後前往,傍晚日落時分景色最美,戶外遺址，舒適步行鞋,,遊客不多,山路陡峭，注意行走安全,,,Ramada Resort Kazdağları Thermal & Spa 或同級,特羅亞（Troas，約 30 分鐘車程）,亞朔村落的橄欖油與手工皂,★★★★☆（愛琴海景觀壯麗，保羅古道的感動）,從山丘俯瞰愛琴海的景色令人難忘。親自走一段保羅古道，感受使徒顛沛流離的宣教之路。
