Day,Date,Place,OneLineTheme,Scripture,OnSiteMeditation,Action,Prayer,
1,2026-03-13,機上→伊斯坦堡,在移動裡神也在帶領,詩121,離開熟悉節奏時，我更容易浮出來的是焦慮還是期待？那常是信心的溫度計。,寫下「我這趟最想帶走的一句話」與「我最怕發生的一件事」，交給神。,主啊，帶我進入祢的節奏，讓我在路上也不失去祢。,
2,2026-03-14,伊斯坦堡（接機/自由活動）,聖靈會關門也會開路,彼前1:1；徒16:7,彼得寫信給分散在「本都、加拉太、加帕多家、亞西亞、庇推尼」的信徒，而這些地方正是我們雙腳現在踩著的土耳其！信仰常在不完美處境中成長。徒16:7也提醒：有些我想去的地方，聖靈會禁止。,遇到不順（延誤、找路、溝通）時練一句話：「主，你在教我什麼？」,主啊，別讓我只是來玩；讓我在每個轉彎都遇見祢。,
3,2026-03-15,伊斯坦堡（聖索菲亞/跑馬場/托普卡匹/藍色清真寺）,外在形式會改敬拜核心不能被偷換,約4:23-24,同一城市裡的教堂與清真寺對望：外在形式很強，但神要的是心的真實。,選一個安靜角落，3分鐘不拍照不打卡，只對神說：「我在。」,主啊，讓我不只看見宗教的壯觀，也看見祢對人的呼喚。,
4,2026-03-16,恰納卡萊/達達尼爾海峽/特洛伊,分辨木馬把毀壞請進來,林後2:11,特洛伊木馬最可怕的不是外敵，而是我把它請進來。我生命裡最常見的「木馬」是什麼？,把那個「木馬」（面子、控制、成癮、比較、怒氣等）寫下來，並加一句：「我不再用它保護自己。」,主啊，給我辨識力，讓我不把毀壞當成安慰。,
5,2026-03-17,特羅亞Troas/亞朔Assos,呼召在夜裡來順服與獨處在清晨開始,徒16:6-12；徒20:7-12；徒20:13-14；提後4:13；林後2:12,特羅亞是保羅跨向歐洲呼召的「門口」，也是少年猶推古因太疲憊睡著墜樓、卻被神扶起得安慰之地（徒20:7-12）。旅程進入中段，我的體力或靈性是否也開始沉睡？但在亞朔，保羅讓同工搭船，自己刻意步行（徒20:13-14），像是在壓力前爭取與神獨處、重新甦醒。熱鬧與疲憊的旅程中，我有沒有給自己「安靜甦醒」的時刻？,用一句話回應神：「若是祢，我就去。」並在今天安排10分鐘「獨行安靜走路」：不講話、不拍照，只在心裡把一個重擔交給神。,主啊，當我疲憊或沉睡時，用祢的恩典喚醒我；也給我安靜與勇氣繼續走在祢的路上。,
6,2026-03-18,別迦摩/推雅推喇/士每拿（七教會路線）,在壓力城市裡忠心是對齊不是硬撐,啟2:8-17；啟2:18-29；徒16:14,這三城是七教會：士每拿「受苦卻富足」、別迦摩「在撒但座位之處仍持守主名」、推雅推喇「最容易用妥協換和平」。今天我最想用什麼妥協來換取輕鬆？,做一個「拒絕妥協」的微行動：把你今天最在意的一件事先禱告再做，並刻意不選最討好人的那個選項。,主啊，求祢開我的心，在壓力之城仍持守祢的名，不用妥協換安全感。,
7,2026-03-19,撒狄/非拉鐵非/希拉波立/棉花堡,醒來與持守在白色外表之下活出生命,啟3:1-6；啟3:7-13；西4:13,棉花堡像潔白外表；撒狄「有活名卻是死」提醒我：忙、亮、體面，不等於活。非拉鐵非「微小力量卻有敞開的門」提醒我：神看重持守與忠心。,替一個人做「以巴弗式代禱」：具體到名字＋具體到需要；並加一句：求主使他/她「醒來、堅固、持守」。,主啊，叫我醒來。讓我不只好看，還要真活；不只想強，還要持守。,
8,2026-03-20,老底嘉/使徒約翰之墓/以弗所,不冷不熱不是溫度而是失去功用,啟2:1-7；啟3:14-22；徒18:19-24；徒19:23-41；弗6:10-18；提前1:3；提後1:18；西2:1,老底嘉的水既不熱也不冷：不能醫治、不能解渴，只剩「沒用的溫吞」。以弗所的大劇場曾響起巨大聲浪抵擋福音（徒19），在世界價值的喧囂裡，人很容易失去起初的愛。今天我信仰的「功用」是醫治別人（熱）或清涼別人（冷），還是只剩麻木習慣？我是否也害怕世界很大的聲音？,做「回到起初＋恢復功用」：寫下你第一次被神觸摸的片段（起初的愛），再寫下今天你要成為誰的「醫治或清涼」（具體到一個人）。,主啊，把我的心從麻木裡喚醒，讓我重新愛祢，也重新成為對人有益、能站立得住的人。,
9,2026-03-21,拔摩島Patmos（聖約翰修道院/啟示錄洞窟）,孤單之地也能成為啟示之地,啟1:9-21,約翰在患難與忍耐中仍為主作見證。我的「拔摩」可能不是一座島，而是某個壓力與孤單。主仍站在我中間。,練「不逃」：把你一直想逃避的一個議題，寫成一句誠實祈禱（不修飾）。,主耶穌，祢站在我中間；求祢讓我在壓力裡仍看見祢。,
10,2026-03-22,聖托里尼（自由活動）,美景背後也可能曾是破碎但神能使其成為榮美,詩19:1；羅8:28,聖托里尼的絕美來自巨大的撕裂與改變。我的生命也可能有「看似災難」的段落：神是否正在把廢墟變成恩典的風景？,挑一張你最喜歡的照片：寫一句讚美＋寫一句見證（我生命中某個破碎如何被神翻轉/如何正在被神使用）。,主啊，讓我透過受造界敬拜祢，也讓我相信：祢能使破碎互相效力成為榮美。,
